PRODUCTNAME,ISSTOPPED,RE06 # Transaction,RE01 # items_sold,Total Stock on hand
Medexa Tab. 4mg,0,1858,7798,915
Prednison 5mg (Hop/100 vien) - DMC,0,1206,6560,325
Eugica xanh,0,1063,7231,417
Hapacol CS day (10Vi x 10Vien),0,1015,4024,235
Pharmacity Khau trang mau xanh duong VN718007 (48 cai/hop),0,983,42009,2974
Eugica Fort,0,979,5417,151
Efferalgan Eff. 500mg,0,886,4111,234
Panadol Extra - Moi (180vien),0,843,10439,487
Natri Clorid nho mat mui - Pharmedic,0,721,4654,298
Bach Tuyet Khau Trang Than Hoat Tinh 50cai/Hop,0,717,33144,750
Tragutan Fort (3Vi x 10Vien),0,711,3192,160
Extracare card (KM),0,670,758,115
Alpha-Chymotrypsin Tab 4200IU - Euvipharm  (2vi x 10vien),0,658,5564,523
Hapacol 650mg (Hop/25vi/10vien),0,643,2875,299
Gofen 400 Clearcap (5Vi x 10Vien),0,638,2444,112
Euvifast 60mg,0,624,2679,82
Salonpas dan,0,586,760,39
Berocca Perfomance Eff Tabs (Tuyp/ 10 Vien),0,575,3221,158
Neo-codion,0,553,3404,204
Quickstick Que Thu Thai,0,551,703,92
Medrol Tab 4mg,0,547,2541,501
Lorastad (10Vi x 10Vien),0,534,2087,141
Magne B6 Corbiere Tab (Hop/50 Vien),0,507,3142,235
Postinor 1 (Hop 1 vien),0,502,527,38
Cephalexin 500mg - Vidipha,0,501,2512,178
Alphachymotrypsin,0,496,4945,255
Nautamin 90mg Tab (20vỉ x 4viên),0,458,2346,131
B complex C - Vidipha (Loc 10vi x 10vien),0,457,2391,410
Bach Tuyet Khau Trang Than Hoat Tinh 10cai/Goi,1,455,491,18
Alpha Choay,0,446,5270,532
Phosphalugel Susp. 20%,0,444,2410,184
Zengesic(10vix10vien) - Stada,0,421,1694,197
Euvifast 120mg,0,419,1634,25
Urgo Durable (Elastic Fabric) 102's,0,384,6281,617
Panadol xanh - Moi (120vien),0,375,3891,299
3/2 Natri Clorid Nuoc Suc mieng 500ml,0,374,607,68
Pharmacity Khau trang mau trang VN718007 (48 cai/hop),0,365,17011,910
Terpin-Codein,0,363,3105,0
Ameflu ban ngay + Vita C (vien),0,361,1933,150
Zecuf ngam,0,359,676,61
Bisolvon 8mg Tablets,0,351,1926,110
Clarityne (H/10Vien),0,349,838,1
"Vitamin C 500mg - Vidipha (vien nang ,10x10)",0,346,1997,211
Bach Tuyet Khau Trang Mau Xanh 3 Lop 10cai/Goi,0,342,3811,180
Chupa Chups Keo Mut Do (Goi/40 Que),0,338,544,24
Sensa Cools (Hop 6goi),0,336,393,29
Enervon 10x10vien,0,332,1604,168
Natri Clorid Suc mieng Vinh Phuc,0,325,538,0
Pharmacity Khau trang mau trang (Goi/1 Cai),0,324,920,43
Sting Dau 330ml (Thung/24 Chai),0,324,483,39
Terpin codein-F (10vi x 10vien),0,324,2646,150
Pharmacity Nuoc Suoi 500ml (Loc/ 12Chai),0,314,417,135
Telfast BD 60mg (Hop/10 Vien),0,302,1501,0
Dorogyne - DMC,0,301,2706,178
Hapacol CF (25vi x 10vien),0,301,6,2
Becofort Tab,0,297,1500,0
Mucosolvan Tab. 30mg,0,295,1578,100
Stadexmin (Chai/500v),0,283,1734,760
Pharmacity Khau trang mau hong VN718007 (48 cai/hop),0,281,13560,1426
PMS - Claminat 625mg (2Vi x7vien),0,280,1558,323
Pectol Vien (C/30v),0,275,1886,0
Upsa-C Eff. 1g,0,275,2108,132
Aquafina 500ml (Thung/24 Chai),0,271,353,52
Mefenamic Acid Stada 500mg,0,266,1036,63
Thuoc ho Bao Thanh (vien ngam),0,264,2345,280
Celecoxib 200mg - DMC,0,259,1144,59
Myonal Tablets 50mg,0,256,1382,163
Fexostad 60,0,254,1097,127
Biolac vien nang (H/100Vien),0,253,1756,137
Ceodox 200 (H/20vien),0,252,63,0
Pocari Sweat Nuoc Uong Dien Giai 500ml,0,252,367,35
CONS Naturen Z DHG (Hop/10 vi/100 vien ),0,250,1994,290
Salonsip,0,246,477,41
Eprazinone 50mg - Mebiphar,0,244,1165,138
Pharmacity Khau trang mau xanh la cay (Goi/1 Cai),0,242,443,12
ALVERIN,0,240,913,179
Enterogemina 5ml (Hop/ 20 Ong),0,236,1807,67
Fugacar 500Mg Tab. B/1,0,233,394,38
Ameflu Ban Ngay (vien),0,231,1328,167
Prospan siro,0,231,234,8
Eugica Keo Ngam Giam Ho Hop 100 vien,0,230,3867,481
Pharmacity Khau trang mau xanh duong (Goi/1 Cai),1,230,582,2
Scanneuron - Forte,0,230,1122,165
EUROXIL 500 (Vien nang),0,229,1163,252
Glotal 500,0,222,866,249
Imodium 2Mg Caps,0,222,1404,94
Pharmacity Khau trang mau xanh la cay VN718007 (48 cai/hop),0,221,11042,1582
Strepsils Cool (goi),0,221,556,40
Fugacar 500Mg (Chewable) Tab. B/1,0,220,372,15
